"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.192863333E-1	-2.263346667E0	-3.827665719E0	3.000754820E0	5.364540286E0
6.292943333E-1	-3.103889179E-1	-4.732475563E0	4.590312209E0	6.600275177E0
6.393023334E-1	3.032977071E-1	-5.561982626E-1	5.341237371E0	5.378676664E0
6.493113333E-1	8.667197661E-1	1.478902341E0	3.967550413E0	4.322014758E0
6.593193333E-1	4.641221942E-1	5.444278175E-1	3.105181999E0	3.186528880E0
6.693273333E-1	3.630493075E-1	4.496298337E-1	2.446494325E0	2.513823038E0
6.793363333E-1	-4.985454471E-1	1.609193509E0	1.004151115E0	1.961216656E0
6.893443333E-1	1.731902007E0	-3.002264571E-1	-1.077769548E1	1.092008884E1
6.993523333E-1	2.454764042E0	-4.474649021E0	-1.268805334E1	1.367607575E1
7.093613333E-1	2.338572339E-1	-3.899073086E0	-1.741627681E0	4.276765964E0
7.193693334E-1	-3.906064894E0	5.243958414E-2	4.981359959E-2	3.906734475E0
7.293773333E-1	-4.413552196E-1	1.346222001E0	4.276869875E-1	1.479873057E0
7.393853333E-1	3.310925052E0	5.962134490E0	2.811071144E0	7.376407890E0
7.493943333E-1	-1.598727431E-1	3.033712066E0	6.051536078E0	6.771267024E0
7.594023333E-1	-2.223354343E0	-7.894086117E-1	2.444884586E0	3.397636109E0
7.694103332E-1	-3.019892465E-1	1.175776250E0	-7.365404266E-1	1.419908129E0
7.794193333E-1	1.660138398E0	2.212154878E0	1.955250442E-1	2.772709640E0
7.894273333E-1	-1.269871691E0	1.780417525E0	-5.327550209E-1	2.250841750E0
7.994353333E-1	1.588897531E-1	2.582181888E0	-2.115557122E0	3.341929262E0
8.094443333E-1	7.769046333E-1	2.603968028E0	-5.827802896E-1	2.779183903E0
8.194523333E-1	-3.784721428E-1	1.521261910E0	-8.692178428E-1	1.792489504E0
8.294603333E-1	-6.677600674E-1	1.913990734E0	1.126364354E0	2.319043056E0
8.394693333E-1	-1.017122578E0	3.471135253E-1	9.306519649E0	9.368368808E0
8.494773332E-1	1.736724937E0	-2.186429468E0	5.898513860E0	6.526036552E0
8.594853333E-1	5.573847211E0	4.997200066E-1	-1.247122221E0	5.733481198E0
8.694933333E-1	3.443021840E0	4.631480116E-1	6.442374498E-1	3.533262991E0
8.795023334E-1	-4.890464991E-4	-3.877064166E0	-4.243483443E0	5.747936893E0
8.895103333E-1	3.253110123E-1	-2.080535808E0	-3.182736543E0	3.816316078E0
8.995183333E-1	2.196741910E0	-1.269415315E0	7.677277207E-1	2.650753877E0
9.095273333E-1	2.056973283E0	-1.799851331E0	3.098034947E0	4.131394974E0
9.195353333E-1	-8.345377144E-1	-2.709779243E0	2.483973223E0	3.769546354E0
9.295433332E-1	-1.102318703E0	-2.016309407E0	4.679485171E0	5.213270722E0
9.395523333E-1	-2.636867680E-1	-2.282451274E0	5.450939323E0	5.915391283E0
9.495603333E-1	-6.855510981E-1	-2.646809408E0	6.042036107E0	6.631876105E0
9.595683333E-1	-5.434428540E-1	-2.310493936E0	6.673183980E0	7.082732297E0
9.695763333E-1	-6.760255453E-1	-2.052692537E0	6.767832860E0	7.104513974E0
9.795853333E-1	-9.418312711E-1	-2.180888062E0	6.514716834E0	6.934324359E0
9.895933333E-1	-1.248854751E0	-2.485248501E0	5.727871057E0	6.367464578E0
9.996017083E-1	-1.151079584E0	-2.548504849E0	5.121120107E0	5.834872092E0
1.009610708E0	-1.289031554E0	-2.675168989E0	4.955981873E0	5.777533020E0
1.019618708E0	-1.677795966E0	-3.127686762E0	3.988320308E0	5.338925235E0
1.029626708E0	-1.837650948E0	-3.408712133E0	3.475129486E0	5.203153309E0
1.039635708E0	-1.481517216E0	-4.298327402E0	2.547589175E0	5.211594989E0
1.049643708E0	-1.511417684E0	-4.130065586E0	1.260570817E0	4.575026114E0
1.059651708E0	-1.441066178E0	-3.870988324E0	5.098046994E-1	4.161865347E0
1.069660708E0	-1.314908700E0	-3.339633127E0	8.705334663E-1	3.693232030E0
1.079668708E0	-2.359342745E0	-2.838750694E0	-9.143793976E-1	3.802774431E0
1.089676708E0	-2.981751954E0	-1.895877230E0	-4.305082691E0	5.569464261E0
1.099684708E0	-3.840676358E0	-1.090850120E0	-6.349132458E0	7.500148788E0
1.109693708E0	-3.345727387E0	-7.291729349E-1	-7.171588363E0	7.947154495E0
1.119701708E0	-2.264904803E0	-1.223785983E0	-5.874168978E0	6.413525324E0
