"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.132206251E-1,-7.030961072E-1,-6.740728676E-1,2.419070299E0,2.607799739E0
6.232296251E-1,-1.205424922E0,-5.787992129E-1,7.319567943E-1,1.524407597E0
6.332386250E-1,-1.605106305E0,-5.402914971E-1,-5.281175941E-1,1.774031946E0
6.432476251E-1,-1.943258387E0,-5.891090235E-1,-1.224223355E0,2.371081067E0
6.532566251E-1,-2.177186190E0,-7.113816118E-1,-1.362329326E0,2.664984934E0
6.632656250E-1,-2.302834376E0,-8.023865068E-1,-9.777854347E-1,2.627343644E0
6.732746251E-1,-2.175564611E0,-9.139893883E-1,-3.273891127E-1,2.382360512E0
6.832836251E-1,-1.809182902E0,-9.939377832E-1,7.771066546E-2,2.065694565E0
6.932926250E-1,-1.369140163E0,-1.025293185E0,1.509224832E-2,1.710555079E0
7.033016251E-1,-9.099575870E-1,-1.006196471E0,-4.417740995E-1,1.426751030E0
7.133106251E-1,-5.926603299E-1,-9.859966797E-1,-9.504666585E-1,1.492254197E0
7.233196250E-1,-3.679288821E-1,-9.581709498E-1,-1.411011490E0,1.744825680E0
7.333286251E-1,-1.433834488E-1,-8.920266616E-1,-1.833519598E0,2.044031432E0
7.433376251E-1,1.893869296E-2,-8.153106076E-1,-2.146980643E0,2.296653205E0
7.533466250E-1,6.796774238E-2,-7.126156667E-1,-2.367828224E0,2.473671604E0
7.633556251E-1,1.033923675E-1,-5.491321948E-1,-2.429348534E0,2.492783675E0
7.733646251E-1,1.411221112E-1,-3.848792294E-1,-2.353917114E0,2.389345778E0
7.833736250E-1,2.428148393E-1,-3.089888021E-1,-2.233027099E0,2.267342751E0
7.933826251E-1,3.491863632E-1,-3.141802526E-1,-2.147627345E0,2.198395679E0
8.033916251E-1,3.828861328E-1,-2.743151057E-1,-2.078340763E0,2.131044555E0
8.134006250E-1,2.920272721E-1,-1.686544570E-1,-2.118267306E0,2.144943037E0
8.234096251E-1,1.513938419E-1,-1.425521940E-2,-2.332702830E0,2.337653910E0
8.334186251E-1,5.261141919E-3,1.532604924E-1,-2.630696821E0,2.635162655E0
8.434276250E-1,2.661214024E-4,3.550353330E-1,-2.846674256E0,2.868728721E0
8.534366251E-1,9.500771608E-2,5.504945961E-1,-2.883801736E0,2.937410972E0
8.634456251E-1,1.630270967E-1,7.190645608E-1,-2.766268609E0,2.862843637E0
8.734546250E-1,2.324432309E-1,9.030562645E-1,-2.445739449E0,2.617476251E0
8.834636251E-1,1.680443366E-1,1.032842525E0,-1.984146212E0,2.243176046E0
8.934726251E-1,1.363296602E-2,1.083746338E0,-1.481390331E0,1.835540601E0
9.034826250E-1,-2.373478023E-1,1.090613016E0,-9.177117258E-1,1.444979426E0
9.134916251E-1,-5.517131558E-1,1.080723327E0,-3.146632326E-1,1.253540293E0
9.235006251E-1,-7.873866445E-1,1.070775167E0,1.800954115E-1,1.341257449E0
9.335096250E-1,-8.927700620E-1,1.119320213E0,4.947218066E-1,1.514815431E0
9.435186251E-1,-8.156615867E-1,1.166262830E0,5.579810786E-1,1.528664678E0
9.535276251E-1,-8.106405826E-1,1.226447928E0,4.377956539E-1,1.533941886E0
9.635366250E-1,-7.756107907E-1,1.304256242E0,3.912722826E-1,1.567083419E0
9.735456251E-1,-6.668018550E-1,1.357754757E0,3.160917073E-1,1.545327364E0
9.835546251E-1,-6.041376103E-1,1.358773927E0,2.383576530E-1,1.506009033E0
9.935636250E-1,-5.486850290E-1,1.277030729E0,3.836673939E-1,1.441895771E0
1.003572625E0,-5.298613069E-1,1.138435931E0,8.957028061E-1,1.542424355E0
1.013581625E0,-4.900931142E-1,9.695250732E-1,1.580047477E0,1.917477551E0
1.023590625E0,-4.233902707E-1,7.492706922E-1,2.087360094E0,2.257817099E0
1.033599625E0,-4.064894055E-1,6.165868440E-1,2.377233471E0,2.489307524E0
1.043608625E0,-3.540309641E-1,6.171981704E-1,2.381610112E0,2.485626325E0
1.053617625E0,-2.884917897E-1,7.770180693E-1,2.116295625E0,2.272815823E0
1.063626625E0,-1.814240817E-1,1.014601551E0,1.783225942E0,2.059666421E0
1.073635625E0,-6.533262156E-2,1.230478706E0,1.511753753E0,1.950319360E0
1.083644625E0,-5.591798309E-2,1.353995875E0,1.351011456E0,1.913547387E0
1.093653625E0,-1.841722365E-1,1.324781723E0,1.039060162E0,1.693697744E0
1.103662625E0,-3.275396420E-1,1.038371360E0,7.258996636E-1,1.308597577E0
1.113671625E0,-3.774223849E-1,6.435577109E-1,7.743280578E-1,1.075266537E0
1.123680625E0,-4.641198919E-1,2.103167456E-1,1.405985223E0,1.495471449E0
1.133689625E0,-5.770644171E-1,-2.072750241E-1,2.379796890E0,2.457518975E0
1.143698625E0,-5.158120191E-1,-5.924983621E-1,3.330945919E0,3.422326264E0
1.153707625E0,-3.939220215E-1,-9.149711359E-1,3.886160095E0,4.011805955E0
1.163716625E0,-1.876940510E-1,-1.062087082E0,3.955522690E0,4.099928997E0
1.173725625E0,3.426821763E-1,-1.095963510E0,3.221361496E0,3.419903065E0
1.183734625E0,9.097766156E-1,-1.010588022E0,1.949828904E0,2.377144168E0
1.193743625E0,1.159846826E0,-8.748449108E-1,5.966393602E-1,1.570533923E0
1.203752625E0,1.254770379E0,-7.491976020E-1,-5.468994355E-1,1.560398905E0
1.213761625E0,1.305720970E0,-6.931385913E-1,-1.367831556E0,2.014028680E0
1.223770625E0,1.300155005E0,-7.271088678E-1,-1.813091766E0,2.346570283E0
1.233779500E0,1.214973791E0,-8.207087570E-1,-1.777617878E0,2.304267670E0
1.243788500E0,1.079416255E0,-1.016371503E0,-1.242507598E0,1.934418677E0
1.253797500E0,9.318754363E-1,-1.301638444E0,-3.271482074E-1,1.633915670E0
1.263806500E0,7.758630981E-1,-1.526215964E0,5.911207581E-1,1.811276474E0
1.273815500E0,5.128792385E-1,-1.698436638E0,1.328818349E0,2.216639422E0
1.283824500E0,2.156112898E-1,-1.763893586E0,1.860517362E0,2.572806574E0
1.293833500E0,-1.148952294E-2,-1.690793157E0,2.078455954E0,2.679345566E0
1.303842500E0,-1.028033702E-1,-1.538070609E0,1.840688869E0,2.400909254E0
1.313851500E0,-1.353796338E-1,-1.374514924E0,1.124156445E0,1.780827514E0
1.323860500E0,-1.754791444E-1,-1.214048323E0,2.206090146E-1,1.246344494E0
1.333869500E0,-7.736487575E-2,-1.016206612E0,-6.721503031E-1,1.220838741E0
1.343878500E0,-3.668031469E-3,-8.345102325E-1,-1.460142134E0,1.681795420E0
1.353887500E0,4.666834574E-2,-6.592566079E-1,-2.155234573E0,2.254292189E0
1.363896500E0,1.390016916E-1,-4.356099647E-1,-2.717198190E0,2.755402605E0
1.373905500E0,2.237157134E-1,-2.069686300E-1,-3.075099828E0,3.090165641E0
1.383915500E0,2.656924360E-1,-2.529417783E-2,-3.269739604E0,3.280614172E0
1.393924500E0,2.158829295E-1,1.181473777E-1,-3.388990059E0,3.397913751E0
1.403933500E0,1.750176895E-1,1.710819286E-1,-3.312951697E0,3.321979706E0
1.413942500E0,1.875697611E-1,1.828047189E-1,-3.217307621E0,3.227951101E0
1.423951500E0,2.610826374E-1,2.241272843E-1,-2.997872143E0,3.017554402E0
1.433960500E0,2.474512428E-1,2.147869420E-1,-2.577738588E0,2.598480667E0
1.443969500E0,2.046094977E-1,1.727501392E-1,-2.165542629E0,2.182036328E0
1.453978500E0,1.552209176E-1,2.095010591E-1,-1.829718323E0,1.848202740E0
1.463987500E0,1.639830434E-1,3.269587576E-1,-1.515482522E0,1.558999597E0
1.473996500E0,2.734116378E-1,5.050839499E-1,-1.411200939E0,1.523598310E0
