"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.283250833E-1,-8.128074730E0,-2.158329621E1,5.979789573E0,2.382566174E1
7.383250833E-1,-7.479862343E0,-2.491062855E1,7.531983254E0,2.707800818E1
7.483250833E-1,-5.785350357E0,-1.875037519E1,7.921653399E0,2.116127220E1
7.583250833E-1,-4.996725857E0,-7.839341560E0,6.675076139E0,1.144461388E1
7.683260833E-1,-4.544920274E0,5.193379998E-2,5.454761063E0,7.100240536E0
7.783260833E-1,-3.710060378E0,4.221546444E0,4.002035537E0,6.899441342E0
7.883260833E-1,-2.430980785E0,6.502596141E0,1.942443870E0,7.208780225E0
7.983260833E-1,-1.267090170E0,9.407096436E0,-4.261637878E-1,9.501610202E0
8.083260833E-1,-6.330919258E-1,1.076768037E1,-4.937840302E0,1.186279953E1
8.183260833E-1,6.741137981E-1,8.536501574E0,-6.063031704E0,1.049221816E1
8.283260833E-1,2.887720833E0,6.579696357E0,-2.919128859E0,7.755813887E0
8.383270833E-1,5.535055028E0,4.733314054E0,-1.040732758E-1,7.283675401E0
8.483270833E-1,6.417228547E0,3.043282204E0,1.576572039E0,7.275161042E0
8.583270833E-1,5.013373464E0,4.254574442E0,1.215127719E0,6.686692198E0
8.683270833E-1,2.395691815E0,5.925754284E0,-6.663298385E-1,6.426344105E0
8.783270833E-1,5.392837295E-1,6.179107706E0,-2.574888656E0,6.715820916E0
8.883270833E-1,-2.409264810E-1,5.423528160E0,-3.864008503E0,6.663577492E0
8.983270833E-1,-5.620940101E-1,4.417607678E0,-3.992330328E0,5.980794991E0
9.083270833E-1,-5.486842250E-1,3.337455624E0,-3.515130873E0,4.878094861E0
9.183280833E-1,-4.858521652E-1,2.352761704E0,-2.946259940E0,3.801576988E0
9.283280833E-1,1.225781053E-1,1.569127802E0,-2.208507385E0,2.711953599E0
9.383280833E-1,7.907827073E-1,2.098624170E-1,-2.256983142E0,2.400698321E0
9.483280833E-1,1.566729859E0,-1.732562742E0,-3.416698844E0,4.138870269E0
9.583280833E-1,2.242491403E0,-3.311215659E0,-2.502425866E0,4.717526051E0
9.683280833E-1,2.419834822E0,-3.715413212E0,7.056222506E-1,4.489743719E0
9.783280833E-1,2.481211875E0,-4.841430826E0,9.561345108E-1,5.523591043E0
9.883290833E-1,2.227864885E0,-6.252564522E0,5.062753201E-1,6.656895654E0
9.983290833E-1,2.613759191E0,-4.249852231E0,2.604214196E0,5.628046968E0
1.008329083E0,1.984787213E0,-3.263455017E0,1.237059309E0,4.014951390E0
1.018329083E0,1.618544668E0,-1.066177794E0,-1.827114558E-1,1.946742255E0
1.028329083E0,1.704487921E0,1.303688770E0,-7.781264091E-1,2.282622218E0
1.038329083E0,7.386325604E-1,2.814229810E0,3.170477271E-2,2.909720378E0
1.048329083E0,-6.678221941E-2,3.809372120E0,-4.968718278E-1,3.842220377E0
1.058329083E0,5.184960008E-2,2.559946681E0,-2.875757722E0,3.850454241E0
1.068330083E0,-7.235657474E-1,-3.575262469E-1,-6.477614497E0,6.527699593E0
1.078330083E0,-4.355415523E-1,-1.921247129E0,-7.078606524E0,7.347622561E0
1.088330083E0,1.252692863E0,-3.454478289E0,-5.107905400E0,6.292325265E0
1.098330083E0,3.207656207E0,-6.834016324E0,-2.319916724E0,7.897775071E0
1.108330083E0,4.933311049E0,-1.110608680E1,1.175768721E0,1.220922414E1
1.118330083E0,5.798909465E0,-1.276068277E1,3.851932833E0,1.453615363E1
1.128330083E0,4.495535568E0,-1.114799848E1,4.838590833E0,1.295761056E1
1.138331083E0,4.369407910E-1,-4.788418799E0,3.025766870E0,5.681121104E0
1.148331083E0,-2.938153360E0,-2.409812987E-2,5.248765190E-1,2.984764856E0
1.158331083E0,-4.828683603E0,2.620556579E0,-1.313237858E-1,5.495520727E0
